DATE,REAL_GDP,REAL_INVESTMENT,REAL_INVENTORY_CHANGE,RECESSION,INV_RATIO
1947-03-31,2182.681,227.242,6.238,0.0,10.411141160801785
1947-06-30,2176.892,209.836,-4.326,0.0,9.63924714684973
1947-09-30,2172.432,203.662,-16.874,0.0,9.374838890239143
1947-12-31,2206.452,243.072,-2.822,0.0,11.01641911992647
1948-03-31,2239.682,268.012,14.095,0.0,11.96652024707079
1948-06-30,2276.69,284.598,26.813,0.0,12.500516100127818
1948-09-30,2289.77,287.514,31.333,0.0,12.55645763548304
1948-12-31,2292.364,273.765,24.243,0.3333333333333333,11.942475104302806
1949-03-31,2260.807,232.885,-2.474,1.0,10.30096775178067
1949-06-30,2253.128,201.926,-21.832,1.0,8.962029676076991
1949-09-30,2276.424,218.667,-4.783,1.0,9.605723714035697
1949-12-31,2257.352,207.912,-21.818,0.3333333333333333,9.210437716404
1950-03-31,2346.104,257.271,9.151,0.0,10.96588216038164
1950-06-30,2417.682,284.803,13.359,0.0,11.780002498260732
1950-09-30,2511.127,309.285,17.541,0.0,12.316581359684319
1950-12-31,2559.214,348.585,56.183,0.0,13.620783568705077
1951-03-31,2593.967,312.966,34.908,0.0,12.065149633746303
1951-06-30,2638.898,320.221,50.756,0.0,12.13464862984473
1951-09-30,2693.259,296.643,33.468,0.0,11.014276755410451
1951-12-31,2699.156,273.007,14.383,0.0,10.114532098181803
1952-03-31,2727.954,280.13,18.048,0.0,10.26886817006445
1952-06-30,2733.8,259.01,-4.389,0.0,9.474358036432804
1952-09-30,2753.517,272.895,19.996,0.0,9.91077955937806
1952-12-31,2843.941,292.552,20.051,0.0,10.28685194242778
1953-03-31,2896.811,298.847,16.203,0.0,10.316413462942524
1953-06-30,2919.206,300.547,15.897,0.0,10.295505010609048
1953-09-30,2902.785,294.261,9.642,0.6666666666666666,10.137195830900326
1953-12-31,2858.845,272.998,-8.267,1.0,9.549241039650628
1954-03-31,2845.192,271.041,-7.346,1.0,9.526281530385296
1954-06-30,2848.305,270.402,-11.829,0.6666666666666666,9.49343556957559
1954-09-30,2880.482,283.451,-9.423,0.0,9.840401710547054
1954-12-31,2936.852,295.882,-3.48,0.0,10.074801181673438
1955-03-31,3020.746,325.442,14.027,0.0,10.773563881239932
1955-06-30,3069.91,345.235,20.699,0.0,11.245769419950422
1955-09-30,3111.379,350.533,18.889,0.0,11.266162045832411
1955-12-31,3130.068,358.661,26.017,0.0,11.458568951217671
1956-03-31,3117.922,348.42,21.944,0.0,11.174750362581234
1956-06-30,3143.694,345.678,15.246,0.0,10.995917541592789
1956-09-30,3140.874,342.583,11.829,0.0,10.90725065698274
1956-12-31,3192.57,339.406,10.471,0.0,10.631121635547537
1957-03-31,3213.011,334.137,5.663,0.0,10.399497542958926
1957-06-30,3205.97,333.798,8.145,0.0,10.411763054551354
1957-09-30,3237.386,341.451,11.901,0.3333333333333333,10.547120423699862
1957-12-31,3203.894,315.195,-11.091,1.0,9.837872289158131
1958-03-31,3120.724,293.932,-13.882,1.0,9.418711811746249
1958-06-30,3141.224,288.01,-12.101,0.3333333333333333,9.168718945226447
1958-09-30,3213.884,310.114,6.134,0.0,9.6491970463153
1958-12-31,3289.032,336.555,16.137,0.0,10.23264595783805
1959-03-31,3352.129,354.894,13.08,0.0,10.5871223929628
1959-06-30,3427.667,382.5,33.118,0.0,11.159193702305387
1959-09-30,3430.057,357.798,3.92,0.0,10.431255224038551
1959-12-31,3439.832,369.442,19.404,0.0,10.740117540624079
1960-03-31,3517.181,406.581,48.436,0.0,11.55985432651888
1960-06-30,3498.246,368.686,13.84,0.6666666666666666,10.53916734271975
1960-09-30,3515.385,367.749,19.572,1.0,10.461130146484667
1960-12-31,3470.278,327.01,-22.782,1.0,9.4231643689641
1961-03-31,3493.703,335.496,-10.386,0.6666666666666666,9.602876947468058
1961-06-30,3553.021,359.004,8.962,0.0,10.104190208839183
1961-09-30,3621.252,386.914,29.74,0.0,10.684536729285893
1961-12-31,3692.289,393.316,24.675,0.0,10.652362260917277
1962-03-31,3758.147,414.522,38.993,0.0,11.029957050642244
1962-06-30,3792.149,411.253,24.493,0.0,10.84485340634031
1962-09-30,3838.776,418.241,28.725,0.0,10.895165542349957
1962-12-31,3851.421,406.004,17.055,0.0,10.541667607877717
1963-03-31,3893.482,427.366,33.543,0.0,10.976447303467692
1963-06-30,3937.183,434.164,22.12,0.0,11.02727508474968
1963-09-30,4023.755,447.531,26.255,0.0,11.122222898759988
1963-12-31,4050.147,452.965,19.18,0.0,11.183915052959806
1964-03-31,4135.553,469.918,20.471,0.0,11.36288182015803
1964-06-30,4180.592,468.225,19.642,0.0,11.199968808245341
1964-09-30,4245.918,479.154,23.536,0.0,11.28505072401304
