DATE,PROFITS_BEFORE_TAX,PROFITS_AFTER_TAX,RECESSION
1947-03-31,32.582,21.086,0.0
1947-06-30,30.708,19.828,0.0
1947-09-30,30.312,19.588,0.0
1947-12-31,32.999,21.327,0.0
1948-03-31,34.539,22.531,0.0
1948-06-30,36.305,23.657,0.0
1948-09-30,35.687,23.279,0.0
1948-12-31,34.432,22.48,0.3333333333333333
1949-03-31,31.295,20.459,1.0
1949-06-30,27.524,18.004,1.0
1949-09-30,28.636,18.7,1.0
1949-12-31,28.213,18.465,0.3333333333333333
1950-03-31,32.349,18.909,0.0
1950-06-30,38.839,22.731,0.0
1950-09-30,47.077,27.353,0.0
1950-12-31,51.781,30.141,0.0
1951-03-31,50.909,24.861,0.0
1951-06-30,42.901,20.897,0.0
1951-09-30,38.862,18.974,0.0
1951-12-31,41.872,20.596,0.0
1952-03-31,39.686,20.158,0.0
1952-06-30,37.787,19.415,0.0
1952-09-30,37.982,19.674,0.0
1952-12-31,42.12,21.9,0.0
1953-03-31,44.021,22.737,0.0
1953-06-30,44.134,22.758,0.0
1953-09-30,43.345,22.469,0.6666666666666666
1953-12-31,33.903,17.663,1.0
1954-03-31,36.179,20.083,1.0
1954-06-30,37.285,20.673,0.6666666666666666
1954-09-30,39.549,21.889,0.0
1954-12-31,42.311,23.287,0.0
1955-03-31,47.479,26.347,0.0
1955-06-30,48.204,26.824,0.0
1955-09-30,49.327,27.439,0.0
1955-12-31,51.335,28.579,0.0
1956-03-31,49.565,27.881,0.0
1956-06-30,50.782,28.686,0.0
1956-09-30,48.035,27.307,0.0
1956-12-31,50.835,28.979,0.0
1957-03-31,51.506,29.162,0.0
1957-06-30,48.951,27.595,0.0
1957-09-30,47.926,27.062,0.3333333333333333
1957-12-31,44.022,25.066,1.0
1958-03-31,37.984,21.656,1.0
1958-06-30,38.728,22.052,0.3333333333333333
1958-09-30,43.468,24.56,0.0
1958-12-31,49.846,27.998,0.0
1959-03-31,53.002,30.206,0.0
1959-06-30,57.858,32.906,0.0
1959-09-30,51.757,29.649,0.0
1959-12-31,50.328,28.92,0.0
1960-03-31,55.718,31.554,0.0
1960-06-30,51.26,29.144,0.6666666666666666
1960-09-30,49.079,27.947,1.0
1960-12-31,46.806,26.678,1.0
1961-03-31,45.791,25.835,0.6666666666666666
1961-06-30,48.919,27.495,0.0
1961-09-30,51.689,28.973,0.0
1961-12-31,55.955,31.239,0.0
1962-03-31,54.968,31.824,0.0
1962-06-30,54.402,31.542,0.0
1962-09-30,56.041,32.489,0.0
1962-12-31,56.318,32.69,0.0
1963-03-31,56.284,32.564,0.0
1963-06-30,60.108,34.696,0.0
1963-09-30,61.757,35.641,0.0
1963-12-31,63.192,36.476,0.0
1964-03-31,66.245,39.849,0.0
1964-06-30,66.389,39.989,0.0
1964-09-30,68.02,41.04,0.0
1964-12-31,67.254,40.738,0.0
1965-03-31,74.271,45.927,0.0
1965-06-30,76.862,47.63,0.0
1965-09-30,78.661,48.901,0.0
1965-12-31,83.821,52.085,0.0
1966-03-31,86.478,53.77,0.0
1966-06-30,86.716,54.088,0.0
1966-09-30,86.005,53.849,0.0
1966-12-31,84.225,52.789,0.0
1967-03-31,81.096,50.464,0.0
1967-06-30,81.15,50.806,0.0
1967-09-30,82.128,51.52,0.0
1967-12-31,86.941,54.557,0.0
1968-03-31,90.056,53.6,0.0
1968-06-30,92.098,55.034,0.0
1968-09-30,92.412,55.296,0.0
1968-12-31,94.515,56.495,0.0
1969-03-31,94.434,55.734,0.0
1969-06-30,91.367,53.899,0.0
1969-09-30,87.954,51.886,0.0
1969-12-31,86.475,50.879,0.0
1970-03-31,79.199,48.123,1.0
1970-06-30,78.97,47.814,1.0
1970-09-30,80.988,48.844,1.0
1970-12-31,77.494,46.818,0.6666666666666666
1971-03-31,87.06,52.676,0.0
1971-06-30,89.776,54.46,0.0
1971-09-30,93.344,58.792,0.0
1971-12-31,95.483,60.503,0.0
1972-03-31,101.061,63.921,0.0
1972-06-30,102.197,64.737,0.0
1972-09-30,105.844,67.076,0.0
1972-12-31,116.3,73.228,0.0
1973-03-31,129.079,83.063,0.0
1973-06-30,131.025,84.989,0.0
1973-09-30,128.741,84.757,0.0
1973-12-31,136.085,89.593,0.3333333333333333
1974-03-31,138.048,93.444,1.0
1974-06-30,144.043,97.379,1.0
1974-09-30,155.548,104.036,1.0
