DATE,PROFITS,INVESTMENT,RECESSION
1947-03-31,33.466,35.854,0.0
1947-06-30,31.668,34.505,0.0
1947-09-30,31.288,34.911,0.0
1947-12-31,34.123,43.25,0.0
1948-03-31,35.747,47.202,0.0
1948-06-30,37.589,50.336,0.0
1948-09-30,36.959,52.516,0.0
1948-12-31,35.712,51.334,0.3333333333333333
1949-03-31,32.519,43.14,1.0
1949-06-30,28.692,36.241,1.0
1949-09-30,29.752,39.549,1.0
1949-12-31,29.205,37.468,0.3333333333333333
1950-03-31,33.477,46.749,0.0
1950-06-30,39.923,52.291,0.0
1950-09-30,48.501,58.641,0.0
1950-12-31,53.221,68.441,0.0
1951-03-31,52.393,64.582,0.0
1951-06-30,44.593,67.383,0.0
1951-09-30,40.666,61.981,0.0
1951-12-31,43.868,57.084,0.0
1952-03-31,41.59,58.132,0.0
1952-06-30,39.667,53.004,0.0
1952-09-30,39.898,57.22,0.0
1952-12-31,43.972,60.737,0.0
1953-03-31,45.893,61.663,0.0
1953-06-30,46.034,62.115,0.0
1953-09-30,45.077,61.435,0.6666666666666666
1953-12-31,35.591,56.446,1.0
1954-03-31,38.019,55.717,1.0
1954-06-30,39.141,55.449,0.6666666666666666
1954-09-30,41.473,58.971,0.0
1954-12-31,44.539,62.139,0.0
1955-03-31,49.715,68.702,0.0
1955-06-30,50.444,72.688,0.0
1955-09-30,51.731,74.747,0.0
1955-12-31,53.871,78.882,0.0
1956-03-31,52.285,78.303,0.0
1956-06-30,53.542,77.02,0.0
1956-09-30,50.939,78.267,0.0
1956-12-31,53.735,77.145,0.0
1957-03-31,54.518,77.728,0.0
1957-06-30,52.239,77.907,0.0
1957-09-30,51.138,79.339,0.3333333333333333
1957-12-31,46.878,71.045,1.0
1958-03-31,40.564,66.73,1.0
1958-06-30,41.276,65.065,0.3333333333333333
1958-09-30,45.972,71.999,0.0
1958-12-31,52.306,80.001,0.0
1959-03-31,55.502,83.166,0.0
1959-06-30,60.398,89.381,0.0
1959-09-30,54.549,83.606,0.0
1959-12-31,53.368,86.524,0.0
1960-03-31,58.778,96.476,0.0
1960-06-30,54.428,87.096,0.6666666666666666
1960-09-30,52.155,86.377,1.0
1960-12-31,50.05,75.963,1.0
1961-03-31,49.179,78.378,0.6666666666666666
1961-06-30,52.095,84.108,0.0
1961-09-30,55.033,90.917,0.0
1961-12-31,59.311,92.931,0.0
1962-03-31,58.34,98.074,0.0
1962-06-30,58.026,96.706,0.0
1962-09-30,59.757,98.16,0.0
1962-12-31,60.694,94.968,0.0
1963-03-31,60.428,99.689,0.0
1963-06-30,64.064,101.65,0.0
1963-09-30,65.769,104.612,0.0
1963-12-31,67.404,107.189,0.0
1964-03-31,70.805,110.474,0.0
1964-06-30,70.797,110.518,0.0
1964-09-30,72.492,112.631,0.0
1964-12-31,71.69,114.984,0.0
1965-03-31,79.043,126.542,0.0
1965-06-30,81.806,127.052,0.0
1965-09-30,83.277,131.237,0.0
1965-12-31,88.313,133.752,0.0
1966-03-31,90.826,144.2,0.0
1966-06-30,91.204,143.501,0.0
1966-09-30,90.553,143.194,0.0
1966-12-31,88.953,145.855,0.0
1967-03-31,85.784,142.811,0.0
1967-06-30,85.602,137.495,0.0
1967-09-30,87.148,142.835,0.0
